time_s,phase,pressure_kpa,temperature_k,vibration_g,thrust_n,anomaly,scenario
0.0,startup,40.62221417085466,300.27877217577765,0.1515070857638129,99.52492248078012,0,normal
0.1,startup,39.84135664730659,297.86902273252156,0.13836491665556774,101.27508090051992,0,normal
0.2,startup,41.55721716009415,300.0824770576623,0.12905913094101684,102.44615528419001,0,normal
0.3,startup,40.32073135367254,299.27502046499825,0.1338726720939813,102.05885293382131,0,normal
0.4,startup,41.23513375942444,310.0011392976007,0.1599612630848413,116.13009134688336,0,normal
0.5,startup,39.35651001802912,304.9359632955103,0.14071582457220788,110.33694362924733,0,normal
0.6,startup,40.63810588906957,307.66485716299894,0.16558880493659747,102.81369047884245,0,normal
0.7,startup,41.278346104913545,302.81839392785275,0.1307056650947745,109.8544411965821,0,normal
0.8,startup,40.31768130054499,309.2073985786465,0.149441163941697,117.03262168339711,0,normal
0.9,startup,42.35724254769946,311.1383253467093,0.1568065100955535,117.24711799222291,0,normal
1.0,startup,43.18087824703573,311.54643228640066,0.17622031969929344,128.25412713858793,0,normal
1.1,startup,42.04420639414472,315.28694916042684,0.1652936079030289,120.60500236644717,0,normal
1.2,startup,42.406219396380294,311.7142449341758,0.17361813913702417,123.06171358569816,0,normal
1.3,startup,42.36924353340252,314.9580430907243,0.15781108705693792,117.50572624529867,0,normal
1.4,startup,42.37584393016091,315.5085599263094,0.15451722842252205,127.87182904009192,0,normal
1.5,startup,41.50419851363055,313.4163307516699,0.1281893457484176,126.97911806130325,0,normal
1.6,startup,43.167267173720326,315.29970289305874,0.1693117839277241,136.0085389294161,0,normal
1.7,startup,45.02692789080224,311.8588376144792,0.17201991236107655,129.15742059128135,0,normal
1.8,startup,43.61776636536813,320.1235743198697,0.15570998492919877,137.61223480102257,0,normal
1.9,startup,43.88903130356248,320.61703952863076,0.15166901862221197,136.3234634798333,0,normal
2.0,startup,44.049778701167284,319.55024421073097,0.1523150352048944,138.66809316886207,0,normal
2.1,startup,44.27699846720381,318.6393317702203,0.15791064439152017,151.8626297743695,0,normal
2.2,startup,45.36197377846467,317.67554582453084,0.14419170868304468,151.035838606773,0,normal
2.3,startup,43.52810693957649,323.88853265752056,0.18344783664520117,133.8654559088726,0,normal
2.4,startup,46.826842039439335,323.1728324713914,0.14801359191746374,140.333401458869,0,normal
2.5,startup,46.10467214782506,325.05460021096627,0.1570191396096421,148.38975393267023,0,normal
2.6,startup,45.05559841766687,325.5492043169082,0.1566577687714453,155.69137271072913,0,normal
2.7,startup,44.394789594724216,328.51058097126213,0.1468151094639816,159.2471353984624,0,normal
2.8,startup,45.88292877473355,330.68500982930493,0.14289030609625616,155.82732418977795,0,normal
2.9,startup,45.64926709618915,325.89655078096587,0.15449538695897636,157.59040835516996,0,normal
3.0,startup,45.50063789877986,331.96295641764067,0.15602124379715301,156.03452806449332,0,normal
3.1,startup,45.57359889345099,332.7088442070648,0.16596494405983722,165.13677033090315,0,normal
3.2,startup,45.60803593968761,328.2771602706925,0.15508260094933757,164.95743109941182,0,normal
3.3,startup,46.18123994913943,329.6820853574284,0.16958745477715187,159.8660466856655,0,normal
3.4,startup,46.4929565779384,333.31962444212337,0.17088461772065577,169.59658706578585,0,normal
3.5,startup,45.176882992922096,334.924348785728,0.14516598848218729,166.22148319639888,0,normal
3.6,startup,47.965519269240275,333.2989766648739,0.1409684803360793,174.82573617595742,0,normal
3.7,startup,47.70459248330748,345.27104740060577,0.16782921794002703,170.06899166271103,0,normal
3.8,startup,48.66506678715867,335.3619066795815,0.16372449546834822,182.06035289221376,0,normal
3.9,startup,47.97968984035921,341.29655199935434,0.15787207024333152,185.35620519055672,0,normal
4.0,startup,48.84935698620622,337.79290844723084,0.150728859376103,181.1558870955916,0,normal
4.1,startup,46.92178088057624,343.65546950106045,0.15003147327070154,180.24825779906865,0,normal
4.2,startup,47.16460745435052,344.65211597208213,0.1549024454115227,183.30892984478982,0,normal
4.3,startup,47.13309991685188,343.12944452012584,0.16707454696828303,179.97859078349734,0,normal
4.4,startup,48.20230047799239,346.6292656343922,0.16616462394662332,178.87819602407794,0,normal
4.5,startup,48.991629810176235,346.5025078924146,0.17201905563380354,190.87212438154526,0,normal
4.6,startup,48.89328745031098,346.0643181452358,0.15514845161974616,188.68617828907747,0,normal
4.7,startup,50.79792188662761,348.09343574596744,0.15213919363394943,202.6889265156938,0,normal
4.8,startup,47.96366548943431,348.08493089931824,0.16473260457028993,193.75040709172148,0,normal
4.9,startup,48.07058376063905,342.79907622598637,0.16055447741063278,198.79663164482517,0,normal
5.0,startup,50.589459621281165,354.5312517574315,0.17387085373014297,202.418493771786,0,normal
