time_s,pressure_kpa,temperature_k,vibration_g,thrust_n,anomaly,scenario
0.0,40.83752221223795,297.95383377382535,0.13631680630583223,-5.909084379580213,0,normal
0.1,39.49237793657265,304.18733751896974,0.15468586233582335,-4.262299976107052,0,normal
0.2,40.72096577680907,308.85250142483886,0.18483481577818361,5.160022510217404,0,normal
0.3,42.352071606375766,309.5606546602438,0.15341378305458514,11.049200352656287,0,normal
0.4,44.46515493677772,310.83358665166713,0.15338633767094895,21.525940615629956,0,normal
0.5,41.004232700939085,312.184826217465,0.16771464911347292,9.1502084352376,0,normal
0.6,41.82085487432338,324.1847912210249,0.17063539977132347,12.850671331488675,0,normal
0.7,44.17129202154049,318.0367491877962,0.1550219472844377,23.030483124378527,0,normal
0.8,42.773333874302146,322.94933890981474,0.14024669281039995,32.18165944401056,0,normal
0.9,43.301142680597614,322.5480932027575,0.14474450582903117,26.50527031381202,0,normal
1.0,46.34937232058938,329.9063049751515,0.13932972091134893,24.255973549256723,0,normal
1.1,46.02928141746239,330.41361436997846,0.15920206360158642,39.59537715574547,0,normal
1.2,45.44793066990774,335.6759217126059,0.154895936228603,37.63285766706792,0,normal
1.3,47.20698613179052,337.9625121310269,0.15785035831002403,40.39626182638989,0,normal
1.4,47.09045462044771,341.99205006821177,0.13791719059499813,52.63418700943773,0,normal
1.5,47.14644249523408,349.74446165114404,0.137991503958005,54.429674983123896,0,normal
1.6,45.7177340443743,349.791265140685,0.179045405402668,42.12916969319995,0,normal
1.7,49.92633211997327,352.45669573415967,0.1642054143602298,61.19456096862342,0,normal
1.8,48.711783001009124,357.8034080787003,0.15640815679373823,56.410082773291755,0,normal
1.9,49.87374375933949,353.713043296412,0.15341885903883673,57.4787117738969,0,normal
2.0,49.07312199715564,359.05490310280135,0.14078195355771747,61.05693351814528,0,normal
2.1,51.82909001220119,363.58915293377424,0.15374877539995999,73.65116188841345,0,normal
2.2,52.878662111140514,366.79759879998386,0.17259143544312908,78.03790858408874,0,normal
2.3,54.176954840273254,369.6899377468556,0.15644363732084596,82.13750325776287,0,normal
2.4,53.34320730370183,375.3078334519895,0.14059002086799557,89.65001950285262,0,normal
2.5,54.63721920162782,375.35132184921997,0.15659767648370143,85.55449127711668,0,normal
2.6,53.59494880821965,373.8798332351432,0.14259672861118722,75.68598773360767,0,normal
2.7,52.83472938849647,377.49513450393994,0.13166605818369265,78.14624089569463,0,normal
2.8,56.74070735565959,387.11495974445876,0.18278785926783123,90.06088435965259,0,normal
2.9,55.48915917677567,392.73494120484105,0.14144259655499997,92.78861944148132,0,normal
3.0,56.91983511527551,389.6099398516879,0.1759608178366348,108.49594440790108,0,normal
3.1,56.40056598555044,389.9054611911326,0.15296493008853793,94.39254502554259,0,normal
3.2,58.336162300584306,393.64340240473797,0.1563379188846312,117.265397384138,0,normal
3.3,59.83643437690378,396.0655441633422,0.16418333826781367,106.88612175811049,0,normal
3.4,58.737953171333274,406.51137004747017,0.1525579437045238,105.69789798746943,0,normal
3.5,60.117613786117545,406.7410465169068,0.17742588484060567,102.56882464758442,0,normal
3.6,58.99613957503819,409.662959129199,0.18145275960674367,117.95945696382006,0,normal
3.7,61.45893769573075,403.56915987253313,0.17057708383478193,123.02122714913307,0,normal
3.8,60.43768627004399,411.6866345389469,0.17129159992340925,118.38205381545644,0,normal
3.9,61.86267296151912,416.91451633664036,0.15363506709673638,133.00736010679768,0,normal
4.0,59.993888722229435,424.4505357262447,0.14559475164811803,136.0020230518842,0,normal
4.1,62.38523455037957,418.80394695014724,0.17865327157584251,148.03673334874765,0,normal
4.2,63.562714969587624,420.1233161980589,0.15701895058869247,142.9857891480713,0,normal
4.3,63.31002645708067,428.1764871284838,0.16718703771722024,146.97917085302782,0,normal
4.4,60.57721828309344,432.7817348793341,0.16770233844194388,142.69885354087995,0,normal
4.5,63.7718434173189,438.72830504256683,0.15764652652226677,145.99687551090318,0,normal
4.6,66.20969299547151,437.93328929421716,0.1947175820576343,154.15741612998374,0,normal
4.7,64.12092715715993,443.89097717791134,0.1732456833193127,140.20754257513224,0,normal
4.8,65.16530070817525,444.52478934828235,0.17038174210241214,156.25286620250014,0,normal
4.9,65.37340826720292,444.06713300842466,0.1533299782876876,170.60313544539943,0,normal
5.0,67.32706392516207,454.93972615022386,0.15662291675401085,163.77073643743964,0,normal
5.1,65.94517174304461,455.1888778655615,0.16708265766954156,174.0028928933567,0,normal
5.2,66.70460816900462,452.9358556814033,0.15535472613413523,180.05069684493847,0,normal
5.3,69.09500665860483,458.30866744381626,0.17860491810336282,174.10329696486733,0,normal
5.4,65.58285952097341,460.3478048678932,0.17654021543143894,168.42812098884366,0,normal
5.5,67.56074694680896,464.9115778057839,0.1703965379113731,182.23826329520455,0,normal
5.6,68.08962379510805,470.07603786132137,0.17876146972966866,193.750016162935,0,normal
5.7,70.32067796837995,474.2196530201983,0.16720729782496946,191.0568550005391,0,normal
5.8,69.80638973538714,477.5806456058262,0.18330261828161776,195.18013967322804,0,normal
5.9,70.19465925164032,474.3107178882206,0.1868496727328065,195.15100550629379,0,normal
6.0,69.00452706365591,486.0913927816611,0.1700039687735631,193.77887824165708,0,normal
